,longitude,latitude,propertyTaxRate,price,numPriceChanges,saleMonth,saleYear,numOfPhotos,numOfAccessibilityFeatures,numOfAppliances,numOfParkingFeatures,numOfPatioAndPorchFeatures,numOfSecurityFeatures,numOfWaterfrontFeatures,numOfWindowFeatures,numOfCommunityFeatures,livingAreaSqFt,numOfPrimarySchools,numOfElementarySchools,numOfMiddleSchools,numOfHighSchools,avgSchoolDistance,avgSchoolRating,avgSchoolSize,medianStudentsPerTeacher,numOfBathrooms,numOfBedrooms,numOfStories,age,zipcode_median,clusters,cluster
4633,-97.87433624,30.24781036,1.98,749000,1,10,2020,40,0,3,2,1,2,0,1,0,3356,1,0,1,1,3.433333333,6.0,1455,17,4.0,4,2,15,649999.0,1,light purple
4634,-97.9183197,30.18519592,1.98,515000,1,5,2020,68,0,3,2,0,1,0,0,0,2879,1,0,1,1,2.133333333,8.0,1655,18,3.0,4,2,13,523915.0,0,pink
4635,-97.90518951,30.23849869,1.98,519000,2,5,2018,40,0,4,2,0,0,0,0,0,3472,1,0,1,1,3.733333333,6.666666667,1660,17,3.5,4,2,16,380000.0,0,pink
4636,-97.92310333,30.18998909,1.98,365000,5,7,2020,66,0,3,2,3,1,0,1,0,2931,1,0,1,1,2.266666667,8.0,1655,18,4.0,4,2,13,523915.0,0,pink
4637,-97.89697266,30.24259567,1.98,399900,4,11,2019,48,0,4,2,1,3,0,0,0,2032,1,0,1,1,3.666666667,6.666666667,1698,17,3.0,4,2,10,380000.0,0,pink
4638,-97.9174881,30.18496895,1.98,379000,9,11,2019,29,0,5,1,1,2,0,0,0,3104,1,0,1,1,2.166666667,8.0,1655,18,4.0,4,2,13,523915.0,0,pink
4639,-97.91758728,30.18596649,1.98,399990,6,8,2020,94,0,3,3,2,1,0,1,0,3438,1,0,1,1,2.166666667,8.0,1655,18,4.0,4,2,15,523915.0,0,pink
4640,-97.87994385,30.23755455,1.98,385000,1,3,2018,30,0,5,1,0,0,0,0,0,1777,1,0,1,1,2.666666667,6.666666667,1698,17,2.0,3,1,50,380000.0,0,pink
4641,-97.90797424,30.18638039,1.98,695000,1,11,2020,40,0,3,3,4,4,0,0,0,3988,1,0,1,1,1.9,8.666666667,1664,18,5.0,4,2,15,523915.0,1,light purple
4642,-97.90090942,30.24111366,1.98,529900,2,8,2018,39,0,3,1,0,0,0,0,0,3450,1,0,1,1,3.533333333,6.666666667,1660,17,4.0,4,2,16,380000.0,0,pink
4643,-97.91916656,30.18586731,1.98,439900,11,5,2020,30,0,1,2,0,0,0,0,0,2895,1,0,1,1,2.2,8.0,1655,18,4.0,5,1,15,523915.0,0,pink
4644,-97.88005829,30.23726654,1.98,285000,6,9,2020,88,0,5,3,2,2,0,1,0,1901,1,0,1,1,2.666666667,6.666666667,1698,17,2.0,4,1,51,380000.0,0,pink
