,latitude,longitude,propertyTaxRate,hasAssociation,hasCooling,hasGarage,hasHeating,hasSpa,hasView,homeType,yearBuilt,price,numPriceChanges,saleDate,saleMonth,saleYear,latestPriceSource,numOfPhotos,numOfAccessibilityFeatures,numOfAppliances,numOfParkingFeatures,numOfPatioAndPorchFeatures,numOfSecurityFeatures,numOfWaterfrontFeatures,numOfWindowFeatures,numOfCommunityFeatures,lotSizeSqFt,livingAreaSqFt,numOfPrimarySchools,numOfElementarySchools,numOfMiddleSchools,numOfHighSchools,avgSchoolDistance,avgSchoolRating,avgSchoolSize,medianStudentsPerTeacher,numOfBathrooms,numOfBedrooms,numOfStories,age,value,ageCategory,zipcode,zipcode_median
1366,30.33491516,-97.85814667,1.98,True,True,False,True,False,False,Single Family,2001,569000,3,7/3/2018,7,2018,Agent Provided,40,0,3,1,0,0,0,0,0,14374,2882,0,1,3,0,3.733333333,8.0,1373,14,3.0,3,2,20,Median or Above,10-20 Yrs,78733,775000.0
1367,30.28545761,-97.64582062,1.98,True,True,True,True,False,True,Single Family,2006,415000,1,5/15/2019,5,2019,Broker Provided,27,0,5,2,0,1,0,0,0,5793,1784,1,0,1,2,3.2,3.666666667,1085,11,3.0,3,2,15,Median or Above,10-20 Yrs,78724,249000.0
1368,30.31898308,-97.84315491,1.98,True,True,True,True,False,False,Single Family,1985,1799000,5,5/1/2018,5,2018,Agent Provided,40,0,5,2,0,0,0,0,0,122839,4657,0,1,3,0,2.833333333,9.333333333,1360,14,6.0,4,2,36,Median or Above,30-40 Yrs,78733,775000.0
1369,30.16791916,-97.62264252,1.98,True,True,True,True,False,False,Single Family,2004,228000,3,6/19/2020,6,2020,Agent Provided,23,0,3,2,1,1,0,1,0,6621,2277,1,0,1,1,0.6,3.333333333,1626,14,3.0,4,2,17,Below Median,10-20 Yrs,78617,199800.0
1370,30.24134254,-97.58851624,1.98,True,True,True,True,False,False,Single Family,2003,81000,5,3/29/2019,3,2019,Agent Provided,25,0,2,2,0,0,0,0,0,5793,2277,1,0,1,1,1.566666667,3.0,1457,13,3.0,4,2,18,Below Median,10-20 Yrs,78725,204200.0
1371,30.35803795,-97.90953827,1.98,True,True,True,True,False,True,Single Family,2008,775000,4,11/4/2020,11,2020,Keller Williams Lake Travis,157,0,4,2,1,2,0,1,0,9104,3742,1,0,1,1,2.4,8.666666667,1533,17,5.0,5,2,13,Median or Above,10-20 Yrs,78732,550000.0
1372,30.28878403,-97.64331055,1.98,True,True,False,True,False,True,Single Family,2018,439900,1,5/22/2018,5,2018,Agent Provided,4,0,3,1,0,0,0,0,0,4617,2542,1,0,1,2,3.033333333,3.666666667,1085,11,3.0,4,1,3,Median or Above,<=10 Yrs,78724,249000.0
1373,30.4996376,-97.79502869,2.21,True,True,False,True,False,False,Single Family,2006,350000,1,6/30/2018,6,2018,Agent Provided,40,0,4,2,0,0,0,0,0,10585,2128,1,0,1,1,1.666666667,8.333333333,1481,16,3.0,3,2,15,Below Median,10-20 Yrs,78717,410000.0
1374,30.44314766,-97.79164124,1.98,True,True,True,True,False,False,Single Family,1976,725000,5,9/3/2020,9,2020,Broker Provided,31,0,3,2,1,0,0,0,0,14810,2599,0,1,1,1,0.9,8.666666667,1632,16,3.0,4,2,45,Median or Above,40-50 Yrs,78750,585000.0
1375,30.33621979,-97.87342834,1.98,True,True,True,True,False,False,Single Family,1983,464800,1,5/2/2019,5,2019,Agent Provided,33,0,6,2,0,0,0,0,0,16117,1416,0,1,3,0,4.066666667,8.0,1373,14,2.0,3,1,38,Median or Above,30-40 Yrs,78733,775000.0
1376,30.25588608,-97.579216,1.98,True,True,False,True,False,False,Single Family,2005,202500,2,6/28/2019,6,2019,Agent Provided,25,0,1,1,0,0,0,0,0,5749,1767,1,0,1,1,2.4,2.666666667,1478,13,2.0,4,1,16,Below Median,10-20 Yrs,78724,249000.0
1377,30.35847092,-97.90961456,1.98,True,True,True,True,True,False,Single Family,2007,650000,2,5/31/2018,5,2018,Agent Provided,36,0,1,2,0,0,0,0,0,9931,3691,1,0,1,1,2.366666667,8.666666667,1533,17,4.0,5,2,14,Median or Above,10-20 Yrs,78732,550000.0
1378,30.1707859,-98.0045929,2.01,True,True,True,True,False,False,Single Family,2006,644900,3,10/17/2018,10,2018,Broker Provided,1,0,4,2,0,0,0,0,0,16117,4387,0,0,2,0,0.5,8.0,743,15,4.0,4,2,15,Median or Above,10-20 Yrs,78737,498500.0
1379,30.48898506,-97.79593658,2.21,True,True,False,True,False,True,Single Family,2014,616900,2,2/7/2020,2,2020,Agent Provided,40,0,8,2,1,2,0,1,0,8842,3445,1,0,1,1,3.366666667,7.666666667,1259,14,4.0,4,1,7,Median or Above,<=10 Yrs,78717,410000.0
1380,30.16765022,-97.62207794,1.98,True,True,False,True,False,True,Single Family,2004,179900,3,11/10/2020,11,2020,Public Record,13,0,3,1,0,0,0,0,0,6011,1396,1,0,1,1,0.633333333,3.333333333,1626,14,2.0,3,1,17,Below Median,10-20 Yrs,78617,199800.0
1381,30.37198257,-97.84367371,1.98,True,True,True,True,False,True,Single Family,1997,580000,2,9/27/2019,9,2019,Agent Provided,40,0,4,2,1,2,0,1,0,8319,2929,1,0,1,1,1.633333333,7.0,1381,16,3.0,4,2,24,Median or Above,20-30 Yrs,78730,887450.0
1382,30.35337448,-97.91268158,1.98,True,True,True,True,True,False,Single Family,2007,839000,4,11/5/2020,11,2020,Agent Provided,56,0,3,3,2,0,0,0,0,17424,4150,1,0,1,1,2.533333333,8.333333333,1533,17,5.0,4,2,14,Median or Above,10-20 Yrs,78732,550000.0
1383,30.29491234,-97.89665985,1.98,True,True,False,True,False,False,Single Family,1992,799000,2,11/21/2019,11,2019,Agent Provided,39,0,4,1,2,0,0,1,0,13939,2887,0,1,3,0,2.466666667,9.333333333,1360,14,3.0,4,2,29,Median or Above,20-30 Yrs,78733,775000.0
1384,30.43709755,-97.81659698,1.98,True,True,False,True,False,False,Single Family,2000,450000,1,10/20/2018,10,2018,Agent Provided,28,0,4,1,0,0,0,0,0,9713,3393,1,0,1,1,1.2,8.0,1275,15,4.0,4,2,21,Median or Above,20-30 Yrs,78726,489000.0
1385,30.15892029,-97.63855743,1.98,True,True,False,True,False,False,Single Family,2013,214990,3,10/16/2018,10,2018,Agent Provided,1,0,3,1,0,0,0,0,0,5662,1649,1,0,1,1,1.233333333,3.0,1615,14,2.0,4,1,8,Below Median,<=10 Yrs,78617,199800.0
